"AREA","BED","BATH","BUILT","DESCRIPTION","LOTSIZE","PRICE","TYPE"
1225,3,2,1961,"Light filled, open concept living space in this easy living ranch.  Nothing to do but move in.  Newer kitchen with stainless steel appliances, quartz counter tops and tile back splash. 2 Updated baths. Windows, roof, flooring, septic system and more are recently updated. Fully fenced in yard. Potential to add a garage.  Easy walk to Cadigan Park and Candlewood lake. Minutes to highways, shopping and restaurants.  Lovely area of Brookfield.  Welcome Home!!","21344 sqft",315000,"SingleFamily"
780,3,2,1972,"Very nice recently renovated 3 bedrooms and 1 1/2 baths. Covered deck, new thermopane windows, new propane furnace and new flooring. Move in condition and available immediately. Nice level leased lot. Lot rent is $540. includes water, septic and trash removal. On site parking.   All buyer(s) are subject to park approval. Dog allowed with park approval. Additional $10 per month for dog.","No Data",55900,"SingleFamily"
2028,3,3,1986,"Don't miss out on this immaculate well-maintained home located on a quiet street in the desirable northeast section of Bristol! This beautifully updated home includes an eat-in kitchen with granite counters and stainless steel appliances which is open to a large family room with vaulted ceilings, skylights and a fireplace with wood stove insert which significantly reduces heating costs. The main level also includes a formal dining room with crown molding and wainscoting, living room with built-ins, and a renovated half bath. Newer hardwood floors in living and dining rooms. The upper level includes all 3 bedrooms with newer carpet, including the master suite with a renovated master bath with a tile shower. Off the hallway is a full bathroom with double vanity. There is also a large bonus room on the second level with a cathedral ceiling and hardwood floor. There is an unfinished basement that offers great potential to finish off for additional living space. 2 car attached garage, central air, irrigation system, freshly painted inside and out. Enjoy the outdoor space on the maintenance free composite deck and patio, overlooking a large level lot abutting preserved land. This house has it all including attention to detail throughout, plenty of storage and location!","18730 sqft",350000,"SingleFamily"
3561,4,3,2002,"This home was designed and built with entertaining in mind. The expansive view to the north extends all the way to Selleck Hill in Salisbury and the beginning of the Massachusetts Berkshires. The living room features a cathedral ceiling, wood burning fireplace and wet bar equipped with wine cooler.  The living room is open to the dining room and large cook's kitchen. There are double wall ovens, granite counters, cherry cabinets and a generous center island with seating. When you enter the house from the attached heated garage, there is a laundry room and a full bath off the mudroom. Further down the hall is a cozy den/TV room.  There is a built in audio system with speakers in the living room, master bedroom and den. The master suite is on the main level in a wing of it's own and includes a library, large bathroom and substantial walk in closet  Upstairs are 3 bedrooms and full bath.  In addition, there is a large loft that is perfect for gaming and television viewing. The 3 bay garage is heated and includes a workshop.  The heating system has 5 zones and both radiant heat in the floors and hot water baseboard systems.  Central air and central vacuum. The property across the road from the house is state owned and protected as farmland. Seller is agent related.","87120 sqft",850000,"SingleFamily"
3887,3,4,1985,"Welcome to Cheshire!  This well maintained home sits on a 1.09 acre lot on a cul de sac.  Relax on your large rear deck over looking the level back yard which abuts Ives Farm.  On the roof is an extensive solar panel array to offset your electric energy costs. If you are looking for a 3 bedroom, move in ready home in Cheshire, LOOK NO MORE!!  Lets take a tour.  As you enter the front foyer, you are greeted by cathedral ceilings, which brings you into the two story stairway.  To the right is the study, to the left is the dining room and straight down a short hallway is the eat-in kitchen with a large granite counter topped island.  Opening up to left leads to the oversized 2 car garage and into a separate mudroom and pantry area with second refrigerator, cabinets, counter top & sink.  The open floor plan on the opposite side of the kitchen extends into the great room boasting more gleaming hardwood floors and a massive field stone, wood burning fireplace.  Heading upstairs to the right are 2 large bedrooms with large closets, a hallway linen closet, a laundry room and a full bath with yet another closet, tub and separate shower stall. The entire opposite side of the second floor is the master bedroom suite, complete with reading/sitting area, dressing area with several closets that have automatic lighting and full master bathroom with granite counters, tub and a separate shower stall with dual shower heads.  There is also an adjacent room with door for the water closet.","47480 sqft",649900,"SingleFamily"
4011,4,4,1996,"Beautifully remodeled one owner home.  This home has it all, 2 story entry way, gleaming hardwood floors, newly remodeled kitchen with white craftsman cabinetry, large center island, quartz counter tops and stainless Bosch appliances.  The main floor includes a separate study with French doors.  Newly designed mudroom with wood grain tile, ship lap walls and shelving. The master suite has large windows with remote Douglas shades.  The master bath feels like a spa, with it's heated tile floors, soaking tub and glass enclosed shower with rain shower head. Thee additional bedrooms and newly remodeled hall bath.  There is a finished bonus room connected to the upstairs but also has a separate staircase to the main level.  The lower level is finished and includes a workout room, full bath and separate guest bedroom.  The rear yard is fenced and originally had a pool and could easily be done again. Professional photos and floor plans coming","219106 sqft",719000,"SingleFamily"
2590,3,2,2004,"Welcome to this impeccable, well maintained and lovingly cared for home. Pride of ownership throughout.  Beautiful, bucolic setting in country, yet convenient to major highways and amenities as well as RI and MA.  Hardwood flooring, tile throughout lower level boasting a wonderfully appointed eat in kitchen with granite countertops, plenty of cabinetry and  leading to a generous deck. Upstairs, there is a good sized  master with a sitting area; as well as ample sized bedrooms with plenty of storage/closet space.  Finished lower level perfect for extra space to entertain.  Sit on your beautiful front porch and enjoy the scenery!!  Backyard is perfect for entertaining offering a lovely landscaped yard. There is also an above ground pool as well as a spacious deck.  You do NOT want to miss out on this lovely home!! There is nothing to do but move in!!  Be in your perfect house just in time for summer enjoyment!! Join us at our Open House Saturday 4/17 from 11-1 and Sunday 4/18 from 11-1!!","35719 sqft",349900,"SingleFamily"
3580,4,3,1996,"Custom colonial on 8 acre wooded lot at end of private cul-de-sac. Open floor plan with large kitchen leading to family room with cathedral ceiling, rear staircase and fireplace. Two story foyer with main stairs leads to living room and private study with French doors. Large dining room with chair rail wood work. Master bedroom suite with Brazilian cherry flooring, stall shower and whirlpool tub. Second floor has three additional bedrooms, full bathroom and laundry room. Fully finished walkout lower level has slider to private patio, workshop, storage room and rough plumbing for additional bathroom. Dwelling offers several locations for in home office. Entertain on rear deck with electric awning or relax on large paver patio with built-in fire pit. Bluebird Lane is a private road with annual maintenance fee of $700. Come see this unique home today.","344995 sqft",489900,"SingleFamily"
1692,3,2,1951,"Immaculate 3 bedrooms and 2 full baths cape style home tucked away on a quiet street but still conveniently located close to I-84, Route 8, restaurants and shopping; brand new roof, new vinyl siding with foam insulation under the vinyl siding, new windows, new exterior doors, new furnace, new central air system, updated electrical, new hot water heater, new light fixtures, and all new flooring; the main level features a living room, kitchen with stylish new cabinets, granite counter tops, and stainless steel appliances, dining room, one bedroom and a totally remodeled full bath all on main level; 2nd level features 2 nice sized bedrooms with plenty of closet space and another remodeled full bath; lower level features a recreation/theater room, laundry area, attached garage access, storage and utility room; private and fully fenced backyard with an amazing tri level concrete and stone patio - skilled masonry workmanship - built in stone grill and inground basket ball hoop - perfect for entertaining family and friends; paved driveway and an attached garage; nothing to do but to move into the beautiful completely updated home; low annual taxes; wont last!","5227 sqft",279000,"SingleFamily"
6485,5,6,2018,"LIVING IS EASY IN THIS RIVERSIDE WATERFRONT AT THE END OF CUL-DE-SAC. IMPRESSIVE AND SPACIOUS OPEN RESIDENCE WITH 10' CEILINGS, MAGNIFICENT WATER VIEWS FROM ALMOST EVERY ROOM. THE OPEN FLOOR PLAN ENCOMPASSES A SLEEK, STYLISH GOURMET KITCHEN THAT FLOWS OPEN TO DINING ROOM, FAMILY ROOM AND LIVING ROOM. THE EXPANSIVE LIVING ROOM OPENS UP TO A PATIO THAT OVERLOOKS THE WATER. MASTER SUITE WITH STUNNING WATERVIEW COMPLETE WITH FIREPLACE, LUXURIOUS EN-SUITE AND OVERSIZED WALK-IN CLOSET. THREE ADDITIONAL BEDROOMS ALL WITH EN-SUITE BATHS. LOWER LEVEL HAS ADDITIONAL BEDROOM AND BATH AND A HUGE SPACE FOR PLAYROOM, BILLIARD ROOM, ETC. SQUARE FOOTAGE BREAKDOWN 4415 ABOVE GRADE AND AN ADDITIONAL 2070 IN THE LOWER LEVEL FOR A TOTAL OF 6485. NOT IN FLOOD ZONE.","0.34 Acres",3295000,"SingleFamily"
3157,5,3,1800,"What you've been waiting for -- rare find for this one-of-kind LANDMARK antique property with many modern updates in the HEART OF SOUTH WINDSOR. 3100 sq ft main home with 5 bedrooms and 2 1/2 baths PLUS separate 3 car garage building with 500+ finished square feet and full bath, ideal for home office or business. Situated on prime 1.26 acre secluded lot surrounded by mature landscaping and farm land for added privacy. 3600+ total sq ft of heated living space and 3 1/2 baths. Main home features very open and bright yet VERSATILE layout. Antique charm with architectural detail meets high design blended with INTIMATE living spaces for comfortable everyday living. Ideal set-up for MULTI-GENERATIONAL living with first floor master bedroom wing. Remodeled kitchen with stylish cabinetry, granite counters, and stainless steel appliances. Detached 3 car garage is ideal for a contractor, handyman, mechanic, or hobbyist. Storage galore throughout with ample closet space, full basement, and more. Backyard is your own PRIVATE OASIS with expansive patio, hot tub, and lush landscaping with irrigation. City sewer, private well, central air, newer siding and roof. All of this in sought after brand new ORCHARD HILL Elementary School district and just minutes to Buckland Mall, Evergreen Walk, and I-84.","54885 sqft",439900,"SingleFamily"
835,3,1,1920,"The best opportunity to build some sweat equity in this market with a little work. Located in the Forestville section near shopping, local parks, and easy highway access, this home features wood floors, a detached garage with additional overhead storage, a fireplace in the living room, an enclosed front porch, and a large open back porch overlooking a cleared, level lot.","6098 sqft",129900,"SingleFamily"
975,3,1,1955,"Cute as a button 3 bedroom ranch in Southington (Plantsville).  Beautifully updated kitchen with newer cabinets, stone backsplash and stainless steel appliances.  Updated bath with tile flooring and newer vanity. Hardwood floors throughout. Some additional features include newer windows, roof and siding. Enjoy summer nights with family and friends in this beautifully landscaped yard (with irrigation system) stone patio and above ground pool, . Plenty of storage in the 2 car detached garage and full basement. Solar System in place, bill rnges from 45$ - 90$ per month. Visit today and make this adorable home yours.","12196 sqft",225000,"SingleFamily"
1480,3,2,1923,"Charming spacious 3 bedroom 2 bath home featuring hard wood floors throughout~remodeled bathrooms ~remodeled kitchen with beautiful granite counters ~formal dining room with built in hutch~living room with fireplace~new furnace and hot water heater in 2019","7405 sqft",259900,"SingleFamily"
2852,5,4,1956,"Built By Redding’s previous building inspector Master builder Theodore Dachenhausen , this custom built ranch/cape awaits...this home is privately situated on a three acre rolling lawn with mature landscaping and Magnolia trees. The heart of the home is the family room with vertical beam cathedral ceilings, knotty pine paneling, fireplace and light filled windows. The large 2,300 sq ft above grade living area has a galley style kitchen with custom cabinetry and a sitting area which features a large picture window overlooking the private backyard. The large mahogany wrap around deck is accessed by both the kitchen and dining room, offers beautiful views of the very private rear property and access to a large custom built patio. Down the hall features two full baths, one with a Jacuzzi style tub and three additional ample bedrooms with custom designed walls featuring faux painted and fabric wallpaper. Second floor has a master with full bath, walk in cedar closet and large picture window overlooking the back yard. The lower level is perfect for an au pair suite, a home office or in-law. This bonus area has a large fireplace, bath and kitchen area. The laundry room can be accessed separately by both upstairs and the lower level. The garage features custom built doors.  Redding is an ideal place to call home.  The backyard connects to undeveloped land trust with walking trails.  Come make 83 Limekiln Rd your new home!","130680 sqft",840000,"SingleFamily"
3008,3,3,1991,"Welcome to Laurel Ridge! This custom built Colonial is being offered for the 1st time. This home speaks for itself & the numerous upgrades will leave you in awe. Upon entering you will find custom mill work to high end appliances. The versatility is endless, work from home, entertain or just relax! This floor plan, with just over 3100 sq ft, offers a flexible layout w/3 Bdr, 2.5 Bth, Great room w/wood-burning FP, formal LR, formal DR, Lib/Office, and Chefs Kitchen w/center island & breakfast nook, laundry w/half Bth complete 1st fl. An exquisite Mstr Bdr & Mstr Bth Suite, w/2 additional Bds one w/access to a walk-up attic, & full Bth complete 2nd fl. When we say spacious, we mean it..truly is the luxury of flexible living! High ceilings, large windows & tremendous sunlight fill the home. The expansive backyard, with 20x40 built in pool has enough room to allow for endless outdoor enjoyment. The grounds are meticulously maintained w/gardens, shrubs & irrigation system. There is a 2 car detached garage for car enthusiasts w/buildable space above, possible in-law/office/study. This home sits ever so perfectly on 2+ acres. The professionally landscaped lot is nestled in a quiet 6 home subdivision. Come & enjoy all Guilford has to offer....just minutes from Guilford Town Green & highly sought-after schools, shopping, parks, beaches and more.. Easy access to I-95, Rt 80 & Shoreline Train Station. This house offers both privacy & convenience in a neighborhood setting. Come see!!","98881 sqft",689900,"SingleFamily"
5546,4,3,1961,"Welcome to 5 Rocky Ridge & Experience the Exceptional! This custom, builder’s own home, boasts warmth and unique features. Completely renovated with great attention to detail. The open concept living space, perfect for entertaining, is the heart of the home which includes a dramatic two-story great room filled with natural light as it is surrounded by glass sliding doors that leads to a wrap around deck and showcases a magnificent stone FP with a one-of-a-kind reclaimed wood beam mantle. The generous size DR & a 9ft granite island offers plenty of room for everyone. The kitchen has SS appliances, loads of storage, an oversized pantry and an eat-in area that connects to the well thought out mudroom with the first of 2 laundry spaces. HW throughout. The first floor MBR has a walk-in closet, the large MBath offers a soaker tub and an 8x8 marble shower. A quaint front LR with a wood burning FP, a full bath and a 4th Bed/ Office completes the main level blueprint. The upper level offers 2 Beds with HW floors, lots of closet space and a full bath. The LL has a theater room, a 2nd laundry room with a large folding counter, storage and more closets. Outside you’ll find the most perfect office space in the newly built shed that has HW, high ceilings, recess lighting and heat. The other shed is currently a Wshop but could become another office/ art studio as it also has heat. Smart devices incl. Ring Door Bell, Keyless locks and Nest therm. Nothing left to do but move in and enjoy!","40075 sqft",749900,"SingleFamily"
1301,3,1,1820,"Callng all car enthusiast!  28'X34' Detached 2+ car garage comes with this adorable 3 bed cape. First floor laundry and master bath. Big living room and spacious office that would make a great den or play room. 2 bedrooms upstairs. Well cared for. Newer pine wood fence in backyard. Shed behind the garage and room for a nice garden. No contract solar panels saves you big time on utilities. Yes, that is correct no contract, these panels are owned by the seller and will convey. This is an absolute bargain! Unbelievable priced for a super home in a great area.    Seller is requesting highest & best by 1pm Sunday April 18th.","11761 sqft",224900,"SingleFamily"
1318,3,2,1930,"A True Treasure!  Welcome to The Green Sustainable Oasis Home in the Heart of Whitneyville! While this home has been lived and loved in, the Sellers have been able to reduce their carbon emission by 6.14 metric tons! WOW! Sought after for the location, this 3 Bedroom, 1.5 bathroom Colonial home has all of the charm and precious details to make this home a favorite! Spacious full and a half bathroom too!  Gleaming hardwood floors welcome you into the living room, dining room area, and in the updated kitchen. A marvelous fenced in backyard with tons of space for entertaining and/or working from home on those warm spring and summer days. The detached one car garage has been turned into an artist studio with electrical functionality. It's easy to convert back or keep as a bonus living space.  There's a large walk-up attic space and full basement with washer and dryer.","5227 sqft",245900,"SingleFamily"
2088,5,3,1981,"Step into this wonderfully maintained raised ranch in Historical Bolton. Sitting on a lightly wooded 1 acre lot, this 5 Bedroom and 2.5 baths has plenty of room for a large family. With a covered raised deck, there's plenty of room to entertain and have family gatherings. Don't miss this opportunity in a fantastic location!","46173 sqft",290000,"SingleFamily"
1900,4,2,1969,"Charming four bedroom raised ranch on a quiet country road. Spacious, level, and partially fenced in back yard, great for hosting outdoor gatherings. The large eat in kitchen features stainless steel applicances and plenty of cabinet and counter top space. Upper level has three spacious bedrooms and a full bathroom. Lower level has been finished and includes a large bedroom/living area, laundry area, plenty of storage, and a full bathroom. This is the ideal master suite for extra privacy.","18730 sqft",235000,"SingleFamily"
1770,3,1,1920,"Come see this beautiful colonial style home in this beautiful suburban town! It boasts almost an acre of land, with views of the river across the street. This home has 3 bedrooms and 1 full bath and over 1700 sqft. On the main level you have a relatively open layout with a spacious kitchen, dining room, and great living room for entertaining with loads of natural sunlight as well as your laundry hook-ups on the main floor. Upstairs you'll find your 3 ample sized bedrooms, and full bathroom. In the basement you have plenty of space to potentially finish, or just use for extra storage space. Location is also beneficial as you're a short quarter mile into the center of town for gas, groceries, eateries, and only about a half mile from I395 to making commuting a breeze. Also only 20 minutes away from great CT casinos such as Foxwoods and Mohegan Sun!","43124 sqft",140000,"SingleFamily"
2213,3,3,2001,"Country, park like setting set back from road, This bright and beautiful home built with 2 X 6 construction features a family room with hardwood floors and a vaulted floor to ceiling stone wall & ceiling.  An atrium door leads  to deck and covered porch. The kitchen which is open to the family room features Carrera marble counters with breakfast bar and stainless steel appliances. Tiled entry foyer. Large living room with stone fireplace with marble surround & recessed lighting .The dining room with hardwood floors opens onto the deck and patio. Large master bedroom with spacious walk-in closet, vaulted ceiling, recessed lighting and large tiled master bath with separate tiled shower and soaking tub. Marble countertop with his and her sinks. 2 additional bedrooms, plus a large loft and full remodeled bath. Half bath on first floor with  separate laundry room & walk-in mudroom.  2 car oversized garage. Great private yard, with privacy fencing, Beautiful level landscaped yard. Newer Shed. Sale is contingent on seller's finding suitable housing.","30492 sqft",359900,"SingleFamily"
2352,6,2,1962,"This country ranch is conveniently located on a Private Drive not far from town, schools or the highway.  This ranch has a legal accessory apt.  Owner must reside in one of the units  and then legally rent the other unit to anyone (does not have to be a family member). This home sits on over an acre of level open property. Great for gardeners, recreation area, etc. Main floor has 3 beds, hardwood floors 1 bath, laundry area, a private deck off the left side of house and an enclosed porch to the rear.   The lower level apt, has plenty of windows for natural light! a large living dining room area, 3 beds,  1 full bath and a stylisk kitchen. Tile floors through out the LL.  a nice patio space outside the kitchen.   Plenty of parking for both spaces and a storage shed for each unit.  Let the rent assist your mortgage payments.   The heat is shared, separate thermostats for each unit.","48351 sqft",395000,"SingleFamily"
1560,3,2,2000,"Centrally located 3 bedroom colonial- with city services this updated colonial has been all updated... 2nd floor offers central A/C... all hardwood floors, granite tops.....excl location near major shopping venues and Roads.... price to sale!...Current tenants have been in place for 5 years....good tenants, can stay or vacate prior closing..... great opportunity waits you!","25700 sqft",405000,"SingleFamily"
1456,3,2,1920,"From the moment you enter, you will feel at home.  Adorable, affordable and well maintained.  Perfect home with room to grow into with lots of charm and character. High ceilings and beautiful hardwood floors throughout.  Beautiful newly updated kitchen.  Updates include white Shaker cabinets, granite counters and stainless appliances.  Entertain guests in the formal dining room with built ins.   The full bathroom is spa-like with neutral colors and instantly makes you want to relax in a bubble bath!  There is even a finished room off the living room perfect working from home or homeschooling.  Fresh paint throughout.  Outside you will find a patio perfect to relax on and a Kloter Farms playscape.  Convenient location close to employment, shopping, restaurants, services and schools.","5662 sqft",185900,"SingleFamily"
2626,3,3,1968,"Come see this well kept, spacious Split Level Raised Ranch on .23 acres in desirable East End location  Quick access to highways and shopping but quietness of country living. Home has 9 rooms, 4 bedrooms, 2 1/2 baths with sunroom, whirlpool, 26 x 16 lighted pool with wrap around deck, new liner, outdoor deck rug, pump, and auto vacuum installed. Will only need to vacuum pool in beginning and end of year. Two zoned oil heat on main level, electric in lower level. Solar panels which reduces electric bill greatly. Buyer will have to assume remainder of 25 year contract.  Also features a new inverter that works as heater, air conditioner, and humidifier on main level. Newly finished hardwood floors throughout, fireplace in living room, security system, 1 car garage, and 14 x12 shed. Roof is 7 years old, furnace 5 yrs old.  This home won’t last long at this price. Call listing agent for any additional questions.","10018 sqft",269900,"SingleFamily"
2384,3,3,1998,"Welcome Home! This beautiful custom built home is ready for a new owner!  Located in a quiet neighborhood on a cul-de-sac this home features 3 bedrooms, 2.5 baths, cathedral ceilings, first floor master, hardwood floors, crown molding, spacious kitchen, large living room, fireplace, patio, irrigation system, 2 car garage, large basement, central air, level lot, exterior lighting and so much more! Potential to finish attic space into 4th bedroom! Truly a Gorgeous Home!  Come view it and make it yours! Seller asked for all offers to be submitted by Monday 4/19/21 12:00PM","30492 sqft",449900,"SingleFamily"
1267,4,2,1939,"Home sweet home! Move right in the super desirable and convenient neighborhood and enjoy this newly remodeled home! So many great features -  beautifully refinished  hardwood floors, fabulous new kitchen with granite countertops, two full bathrooms, new paint, vestibule, and versatile floor plan! Low maintenance vinyl exterior and trex type deck.This can be a 2, 3,or 4 bedroom home depending on your needs and wishes. Cleanest basement ever! Whole house fan and window a/c offer choices for Summer. New kitchen floors, new bathrooms, lots of thoughtful details - moldings, built in ironing board, light fixtures.  The long driveway leading to oversized garage provides plenty of parking. Enjoy the generous  75 x 400 lot with shed for extra storage.  Look forward to warm weather and entertaining with plenty of  backyard room!    Please observe COVID protocols!  Two new storm doors are on order, along with garage remote transmitter.","30056 sqft",275000,"SingleFamily"
