"AREA","BED","BATH","BUILT","DESCRIPTION","LOTSIZE","PRICE","TYPE"
1440,4,2,1926,"Potential abounds in this four bedroom two full bathroom spacious home. There is hardwood flooring and large windows throughout, allowing for great natural light in the entire home.  The first floor offers a large kitchen, full bath, bedroom, living room, and family room with high ceilings and an enclosed porch in the front and a second enclosed porch in the back.  The remaining three bedrooms are located on the second floor.  Great investor potential.  Great lot, conveniently located just minutes from Route 72, Route 9, and I-84.  Natural gas heat.  Easy access to WALNUT HILL PARK, close to HOSPITAL OF CENTRAL CONNECTICUT, and a short distance to CENTRAL CONNECTICUT STATE UNIVERSITY.  New 50 Year Roof installed and new Vinyl Siding installed in February of 2021.","10890 sqft",170000,"SingleFamily"
1067,3,2,1940,"Meticulously maintained cape style family home. This home features hardwood floors throughout and a large farmhouse-style kitchen with a porcelain double sink. There is a formal dining room which could expand the kitchen. You will also find three bright bedrooms with nice closets, a generous living room and a finished family room and bathroom on the lower level. Features separate laundry area and workshop with bright lighting. The main level also features large porch with Italian tiles with its own heat zone for extra square footage just off the kitchen. Plenty of closets throughout. The many windows offer an abundance of light with newer tilt-out vinyl windows on all levels.     Moving outside you will find a detached garage with a 2” panel box for small welders and other tools, well-lit with storage. Also, a metal work bench with vice attached. New electric garage door and opener. Backyard is private and level completely fenced in ideal for young children and pets. Features three plum trees, peach tree, pear tree, and a pineapple pear tree. Clean fill area for pool set up and two sheds for storage.     All big-ticket items have all been updated and or replaced in past few years such as furnace, PVC plumbing, thermal-pane tilt out windows, and the roof on both garage and house.     If the owner occupier wishes to have a home-based business you may do so with regulations which support a sign of good size in the front yard. Lots of restaurants, gyms, stores so convenient.","7840 sqft",170500,"SingleFamily"
2348,4,2,1900,"Space galore in this colonial with almost 2400 Sq Ft of living space. The first floor features hardwood floors, 2 bedrooms, eat-in kitchen and a full bathroom. The second floor is comprised of 2 bedrooms, kitchenette area, office, full bathroom and let's not forget the attic which can be finished if you so desire. The roof and heating system are only a year old. There is a 2 car detached garage and a small backyard. Convenient location to bus line and major employers. Property is occupied by tenants and 24 hr notice is required. Schedule your showing today!","5662 sqft",172500,"SingleFamily"
1292,3,2,1875,"BEAUTIFUL 3 Bed, 1 Bath with newer cabinets, vinyl flooring throughout first floor and kitchen, carpet in all bedrooms, fresh paint, Roof 2006, Vinyl Siding, off street parking. Washer/dryer hookup first floor. Tenant in place and in good standing $1500 a month lease until 2/28/22.","3049 sqft",174500,"SingleFamily"
1152,4,1,1965,"Price to Sell! 4 bedrooms 1 full bath Cape home with hardwood floors located on cul-de-sac. Prop avail 04-15-21. Bids due by 04-24-21 11:59 PM Central Time then daily until sold. HUD Home. Sold “AS IS” by elec. bid only. FHA Case #061-294240. Insured w Escrow Rpr. Eligible for FHA 203K. Finance terms: FHA, CASH, Conventional. LBP.","9583 sqft",175000,"SingleFamily"
872,3,1,1880,"A first time homebuyers dream! Have you been looking for a move in ready home?! Well you've finally found it! Come see this well maintained older colonial just minutes to Rte. 95. Close to Colman Street – just walk up the street and get Italian Ice or go to the other restaurants.  Eat-in Kitchen. Freshly painted, new vinyl plank floor in living room. New Oil burner in 2016. Roth double walled oil storage tank. Partially fenced yard for your pet. Low maintenance vinyl siding. Off street parking. You won't want to miss this!","3920 sqft",175000,"SingleFamily"
NA,NA,NA,NA,"Prime Commercial lot zoned T-3  1.03 +/- acres with frontage on Route 10 (Whitney Avenue) providing easy access to Cheshire and points north as well as Hamden and points south. Minutes to 1-91, I-84 and route 15. Can be purchase with the adjacent parcel at 4180 Whitney Ave.",NA,175000,"Unknown"
1424,3,1,1920,"Don't miss the opportunity to purchase the buy of the year! - Lowest price home in Cromwell. Tons of potential in this 6 room, 3 bedroom, 1 bathroom Colonial. Nice level lot w/ shed. Three porches. Eat-in kitchen w/ island, pantry. Hardwood floors. Finished walk-up attic. Gas heat & hot water. - And best of all this property has available FHA financing and the sale is restricted for the next 15 days to owner occupants! Beat the investors and buy the deal in CROMWELL today! Only $100 down payment on FHA 203B, 203K loans. FHA Case #061-386076. IE: Insured w Escrow - Available financing: FHA, FHA 203K, Cash or Conventional. TBD. Lead Based Paint Addendum attached. See Agent to Agent Remarks for more information. Please make an appointment to view this home with a Real Estate Agent or Broker of your choice.","30927 sqft",175000,"SingleFamily"
1200,2,2,1960,"You can own this amazing home for less than renting! The inside is incredible with a large & open floor plan. Located across the street from the salmon river! Large side yard & a massive wrap around deck! You will love this charming home!","47916 sqft",175000,"SingleFamily"
2452,2,2,1750,"Don't miss your opportunity at this unique property- Mix use building. Zoned Village Business District (commercial and/or residential use). 3.51 acres with a 1750 Colonial, outbuildings, and large barn. Inside has been gutted and is ready for you to put your finishing touches on. House is 2452 Sq. feet and the barn is 2000 Sqft. Newer windows, siding, and roof. Selling AS-IS. Cash or 203k. Septic and well will need to be installed but are approved, engineering has been completed and available upon request. This property can be a home, office, restaurant, commercial, farm land, or a combination of them all. Live in a portion of the house and use the rest of the property for income! Located across the street from Lyman High School adds convenience. Come check out this 1 of a kind property today. AGENTS- use caution when entering and while inside the home, barn, and outbuildings. Also listed as Commercial- MLS#170376655","152895 sqft",175000,"SingleFamily"
NA,NA,NA,NA,"Possible owner financing for qualified buyer. Perfect business location on RT 67. High traffic area next door to the new animal Hospital.  Approved building lot with professional use permitted. Approved for up to 5000 sf building. City water in the street.  Possible to have apartment space on the top floor and business on the main floor.",NA,175000,"Unknown"
1181,2,1,1950,"Very well maintained ranch style home. This property features an updated kitchen and bathroom, newer roof and furnace.  The level backyard is perfect for entertaining your guests. Located in a quiet neighborhood and priced to sell, this will move fast.... come take a look you won't be disappointed.","9583 sqft",175000,"SingleFamily"
1546,4,2,1947,"Check out this spacious brick 4 bedroom Cape! This property is ready for a new owner! It features hardwood floors, fireplace with a wood stove insert, updated bath, beautiful private backyard and much more! Come see it and make it yours! Sold As Is.","9147 sqft",175000,"SingleFamily"
1106,3,1,1908,"Great home for starting out, cheaper than renting! Applianced kitchen with maple cabinets, tile floor and vaulted ceiling. 1st floor bath, 1 bedroom on the main level as well as a great laundry room/mud room. Dining room opens to living room with exposed wood beams (ceilings are a little low). Master bedroom upstairs with 2nd bedroom/nursery/office (walkthru master to get to this room). ""Pottery Barn"" colors, vinyl siding, thermal windows, side deck, new boiler and level yard in nice neighborhood with convenient location. Basement is accessed from exterior hatchway and has the mechanicals. Property is being sold ""AS-IS"", inspection for informational purposes only, but home is in good condtion.","7840 sqft",175000,"SingleFamily"
NA,NA,NA,NA,"37.41 acres of commercial land. Abutting land that is in the town of Franklin is also available. See brochure for more details. This is an additional 25.71 acres.",NA,175300,"Unknown"
918,2,1,1955,"TWO BEDROOM 1 BATH WITH LARGE OPEN FRONT PORCH. OPEN CONCEPT WITH STAINLESS STEEL APPLIANCES WITH ISLAND, LARGE BACK DECK OVERLOOKING BABBLING BROOK. HOME IS FILLED WITH UNIQUE FEATURES INCLUDING OAK FLOORS, SPACIOUS CLOSETS, CEALING FANS AND CUSTOM LIGHTING THROUGHOUT. HOME IS SITUATED ONLY 3 MILES FROM THE TRAIN STATION AND DOWNTOWN NEW HAVEN. MINUTES TO ALL SHOPPING ON THE BOSTON POST ROAD. BASEMENT HAS A MEDIA ROOM, LAUNDRY ROOM, AND A WORKSHOP/CRAFT ROOM WITH AMPLE STORAGE INCLUDING A WALK-OUT BREEZWAY. POTENTIAL TO ADD 2 BEDROOM. NICLY LANDSCAPED WITH MATURE SHRBS AND SCREENING. THIS HOME IS A MUST SEE INSIDE.","10018 sqft",178900,"SingleFamily"
1080,4,1,1956,"This is a lovely 4 bedroom cape. It has 4 bedrooms. Conveniently located.  It has nice hardwood flooring and newer windows. You won't want to miss this great opportunity. This house wont last long on this crazy hot market.","5662 sqft",179000,"SingleFamily"
994,1,1,1956,"Zoned Commercial. Single family is a legal use.  Handicap ramp in place. Smoke alarm system is connected to police. Currently used as a tailor shop. Other permitted uses include office, retail, service, wholesale. This is also listed as a Commercial listing.","6098 sqft",179000,"SingleFamily"
1124,3,1,1873,"This updated two-story home is on a quiet non-through street and is full of modern finishes and updates, including new countertops, appliances, flooring, bathroom vanity, and fresh paint throughout.  The home also boasts new windows, plumbing, boiler, water heater, and sub pump.  The 3 bedroom, 1 bathroom, and large first floor laundry room home is turn key ready and is nestled on .16 acres with a private deck.  Schedule your showing today, as this property will not last long on the market!","6098 sqft",179000,"SingleFamily"
1052,3,1,1936,"Come see this great fenced in house. Great for either a starter home or income property, currently rented.This home features a fenced yard great for kids and pets. It has 3 bedrooms, newly remodeled full bath,newly remodeled kitchen, living room and study all on the main floor, Hardwood floors throughout ,with newer windows, new roof, newer furnace and new hot water tank. You will be located near all conveniences, restaurants, shopping mall, coffee shops, medical facilities, schools, gyms, major highways, I 84, RT 8. Come make this your future home and investment.","8276 sqft",179000,"SingleFamily"
1214,3,3,1921,"Circa 1921 Colonial with Wrap Around front porch. Well kept classic home in need roof and renovations!  This is a rehab project for residential reconstruction or possible commercial uses (HB zone).  2 car detached garage. Town water connected. Public sewer at street.   Roof reconstruction necessary from tree fall damage.","24393 sqft",179000,"SingleFamily"
NA,NA,NA,NA,"Rarely available industrial zoned land in New Britain. Approximately 4.78 acres (subject to survey) for sale at $37,500 per acre. Has 90' frontage on Black Rock Ave with visibility to CT Rt 9.",NA,179250,"Unknown"
1645,3,2,1915,"Wow, this home looks so elegant from the outside! Those columns are great! and that front porch! Super sunny and spacious  inside, and the home has nice high ceilings throughout, too! The mechanicals have all been addressed- electrical, furnace and hot water heater, and there is new carpet on the second floor. The roof looks pretty good, too.  Great location on East Avenue close to Barnum, so no parking concerns, and you are close to everything!  Updating needed, bring your ideas to spruce it up. This amount of square footage for this price is hard to come by.","2613 sqft",179900,"SingleFamily"
1194,2,2,1919,"Desirable home.  Must see to appreciate.  Many upgrades.  Come see before it""s gone.","20037 sqft",179900,"SingleFamily"
200,1,1,1992,"8.5 acres of level lightly wooded land makes for a private estate setting, easy to clear for horse or mini farm or subdivide. Property has not been used for several years - has 2 older cottages and a detached Garage all on poured concrete foundations.  Condition of well unknown.  No Septic.  Close to Norwich, New London & Hartford.  Close to Fox Hopyard Golf Course, Gilette Castle State Park, Devils Hopyard State Park, Ct River, Hadlyme/Chester Ferry, Goodspeed Opera House and a small private airport - 15 minutes to I95 and 10 minutes to Rt 2","370260 sqft",179900,"SingleFamily"
1208,3,1,1890,"WOW WOW WOW!!!!!! An affordable, remodeled home for under 200K? Do not miss the opportunity to have your own 3 Bedroom 1 Bathroom, 1200+ Square Foot home in the heart of New London. Whether it 's the hardwood floors, freshly painted interior, or your wonderful fenced in backyard, this home has it all! Schedule your tour today and PREPARE TO BE SOLD!!!","7405 sqft",179900,"SingleFamily"
1404,3,2,1968,"Country location, property has great potential, located on a one way road. Three good size bedrooms. Large yard, paved driveway, deck off the kitchen.","82764 sqft",179900,"SingleFamily"
1888,3,1,1956,"Located near Oxoboxo Lake in Montville is this 1,888 square foot three bedroom home with generous sized rooms.  The open Kitchen, Dining Room and Living Room share a three sided stone fireplace.  The large Family Room and Sunroom complete the one floor living spaces.  Being sold ""as is"".  Subject to Probate.","13503 sqft",179900,"SingleFamily"
1443,3,1,1929,"Great Colonial style home 3 bedrooms & 2 bath! Main level offers a spacious living room and great dining area! New roof installed on garage 2 years ago, Make this one YOUR HOME! There is also a detached one car garage. Home is located close to the bus line with many amenities close by. Schedule your showing today. Seller is very motivated. Property to be sold As-Is      Tenants are in place but is aware home is for sale and is seeking suitable home and will give easy access to property for showings.     24 hour showing is required.","4791 sqft",179900,"SingleFamily"
1156,2,2,1964,"This awesome split level home is looking for a new owner to enjoy the wonderful features it has to share! Spacious rooms, pretty kitchen, wood floors, sun room overlooking a large level back yard and a large basement for storage needs. The mechanicals are solid offering a top of the line furnace, thermal windows and a roof with good life ..  The photos are from prior to when the current tenant moved in.","7405 sqft",179900,"SingleFamily"
1613,4,2,1950,"What an absolutely amazing opportunity to own a move in ready Colonial in wonderful East Hartford Connecticut. This 4 Bedroom 1.5 Bathroom home is a diamond in the rough. With 1600+ Square Feet of living space, a fenced in back yard, detached 1 car garage, remodeled kitchen and bathroom, or your privacy on the dead end of Latimer Street. This home has it all! Make sure to book an appointment today and ""PREPARE TO BE SOLD""","7840 sqft",179900,"SingleFamily"
1266,3,2,1956,"CLASSIS SPLIT LEVEL HOME LOCATED IN CLOSE PROXIMITY TO SCHOOLS AND MAJOR HIGHWAYS. CONTEMPORARY FEEL, THREE BEDROOMS AND FULL BATH. FIREPLACE IN FAMILY ROOM. PARTIALLY FINISHED LOWER LEVEL THAT IS A WALK OUT. FENCED IN REAR YARD AND ATTACHED ONE CAR GARAGE.","10454 sqft",179900,"SingleFamily"
1263,3,1,1963,"Enjoy the picturesque setting that this brick, three bedroom Cape has to offer. A front stoop provides shelter from inclement weather and, with room for chairs, shade from the sun. Enter the foyer to find the desirable convenience of an open floor plan. On the first level you'll find a roomy living room with hardwood flooring, a wonderful kitchen with a tile floor and plenty of cabinetry, a spacious master bedroom, an updated full bath and the ease of a first floor laundry room. Dormered windows add light and space to the second floor where you will find the home's two additional bedrooms. Step out the back door to another covered stoop overlooking the backyard. Perfect for relaxing or entertaining, the backyard is spacious, level and inviting. At the rear of the garage is an attached storage shed for your yard equipment and gardening tools. There is so much to explore in the Windsor Locks community. A five minute drive, historic Noden-Reed park features 22 acres of open fields, and a museum with an impressive slice of Americana dating back to the revolutionary war, the famous air museum, where collections include aircraft ranging from early flying machines to supersonic jets. Spend time at Veteran's Memorial Park which has a lighted soccer and softball field, baseball and football Field, volleyball court, playground, pavilion and outdoor skating rink. Convenient and central to so much, shopping of every kind is easy to reach as is I-91 and Bradley International Airport.","22651 sqft",179900,"SingleFamily"
1309,2,1,1900,"Great starter home & condo alternative. Pets? no problem! This 2 bedroom colonial has a back patio to entertain or enjoy gardening in your own private yard.   Unfinished basement has good space for storage or a workshop, it has access via the kitchen & a Bilco door.  Living room offers freshly cleaned wall to wall carpet and a wall A/C unit.  The first laundry is located off the spacious eat in kitchen. The large walk up attic can become a playroom/3rd bedroom/bathroom, or many other possibilities. This house needs TLC but has potential.","10890 sqft",180000,"SingleFamily"
576,1,1,1940,"Beautiful Lake House!  If you ever have been dreaming of having a house with a direct access to the lake, with the huge porch that will allow you to explore the wonders of the lake, do not look no more. This is a house for you!   This house has a large potential with the decent size backyard that has a direct access to the lake with the patio and large gazebo at the waterfront where tables and chairs can be easily set-up. It is a perfect place for family gatherings where memories lasting a lifetime will be made.","5227 sqft",180000,"SingleFamily"
1442,3,3,1950,"Welcome to your new home. This is your opportunity to make this house your home. With some fresh paint and your touches, this home will fill your needs. As you enter the front door, you’ll love the openness of the front to back fell of the home. The main entry invites you into the living room, kitchen and leads directly to the dining room. The dining room at one time was a bedroom and has since had the wall removed. As you make your way down the hall, here you’ll find (1) bedroom, full bath and a master bedroom with a full bathroom.  Next head to the finished lower level where you’ll find a large family room, bedroom, ½ bathroom and a walk-out entry. Need even more space, head back to the main level and make your way to the 3-season porch which flows right out to the large deck. This house is serviced by (2019) oil furnace, city sewer and city water. The roof is older, and the house is being sold as-is.","10454 sqft",180000,"SingleFamily"
1120,3,1,1952,"This home has been completely gutted needs everything This is a shell with half wall board removed and all fixtures and all heating is gone boiler remains There was freeze damage to upstairs radiators they have been removed.  Has potential needs cash buyer or construction loan","121968 sqft",180000,"SingleFamily"
1234,2,2,1925,"Lovely Colonial with fenced back yard, detached garage with car port, patio and garden area. This home features 2nd floor master suite with separate shower and whirl pool large tub. Main level has kitchen, dining room , living room and additional bedroom. Plus 3/4 bath. Convenient location. Tenant occupied. Showings limited to Saturdays 11-2. Subject to tenant vacating.","5662 sqft",180900,"SingleFamily"
1258,1,1,1928,"Welcome to lake life living! Located on a dead-end street, with year-round waterfront views and a private dock. 2nd floor bedroom features high ceilings and a large deck through sliding doors, facing the lake! Updates include a new roof, new deck and a new oil tank .. as well as a finished basement, 2 living rooms-which could be converted into a 2nd bedroom (hardwood floors under all the carpeting)! Don't miss an opportunity to own this adorable Cape!","8712 sqft",184500,"SingleFamily"
560,2,1,1958,"Enjoy beautiful Lake Hayward in this meticulously cared for seasonal cottage; turn key ready for your summertime enjoyment.  Cottage has many upgrades; newer replacement windows throughout, new plumbing, new electric hydronic baseboard heaters for those chilly evenings, newer hot water heater and a new roof.  Open floor plan with plenty of natural lighting, 2 bedrooms each with their own closet for added storage; remodeled bath.  Property has a spacious side yard, giving you added outdoor living space for entertaining, gardening and more. Cottage comes completely furnished, nothing to do but move right in.  As part of the Lake Hayward community you have access to 4 beaches; swimming, boating, fishing, tennis courts and special programs during the summer months for the entire family.  A peaceful, serene atmosphere awaits you.  Make this your summer vacation home today.","10890 sqft",184900,"SingleFamily"
1110,3,1,1948,"Enjoy one-floor living in this fantastic 3 bed, one bath ranch just minutes from the Village Center of East Hampton. Bring your imagination and envision your personal style and color scheme as you tour through the home.  With a few updates this sweet ranch can offer all you desire.  Step through the front door and you enter into a large living room centrally located within the home with sky high ceilings. Off to the right of the living room you will find your kitchen and dining room with access to your backyard.   Enjoy privacy from the other two bedrooms with the master located separately from the additional two bedrooms. To the left you will find the two additional bedrooms, as well as your full bath. The property offers a deck just off the dining room for easy entertaining friends and family as well as a large level yard just under 1.25 acres.  Landscape the yard to your needs and you will see there is plenty of space for a vegetable garden, patio, and firepit with still more room to kick a ball around!  As Winter turns to Spring, enjoy a short stroll down Main Street to the Village Center where you can find fresh baked breads, specialty coffee and tea, clothing and home decor boutiques, and a wonderful dinner or lunch at Po's Rice and Spice. Schedule your private showing now and envision this home as your own!","51400 sqft",184900,"SingleFamily"
