"AREA","BED","BATH","BUILT","DESCRIPTION","LOTSIZE","PRICE","TYPE"
1325,2,2,1947,"Make this quintessential 1947 New England Cape Cod your new home! Step through the covered porch into your designer kitchen with European style custom maple cabinets, Cambria® quartz countertops, stainless steel suite of appliances, recessed lighting, crown moulding, and gleaming hardwood floors. Enjoy gourmet dinners in the open concept kitchen/dining area with custom-built ins and banquette. The front to back living room with central fireplace has a French door leading to an oversized deck perfect for entertaining and soaking up the sun. Your new deck overlooks a well-sized flat backyard, with stone firepit and landscaped shed. This beautiful property comes alive in the spring with established Dogwoods, Lilacs and other native perennials. Upstairs, find two large bedrooms with hardwood floors, large custom closets, linen closets, and an updated full bath with jetted tub and marble tile. The home has been lovingly updated - from tilt in windows, and widened driveway, to the front door portico, stamped concrete landings, and hand-stained wood doors.  This home is on public water and sewer, and has generator hook up, and a second working fireplace in the basement. Located in one of Bloomfield’s historic streets, and within walking distance of the town center. Minutes from major interstates, health facilities, award winning golf and dining, and nearby favorites such as Blue Back Square. Put this home at the top of your list, as this unique listing will not last!","14810 sqft",199995,"SingleFamily"
2709,4,3,1976,"Location / Location ~ This spectacular 4 Bedroom Colonial is set on a level picturesque park-like setting. Warm and inviting Family Room features a vaulted ceiling, beams, bay window and a stone fireplace. Beautiful eat-in Kitchen with quality appliances. Amazing Sun Room with a wood vaulted ceiling and skylights leads to the deck. Dining Room and Living Room have wood flooring and bay windows. Large Master Bedroom with a walk-in closet. Three additional generous sized bedrooms. The property is awesome and features front and back sweeping lawns and a stone wall. This rare find is located in ""Meadowood Farm"", a sought after westside New Fairfield neighborhood. Won't last!","44866 sqft",539500,"SingleFamily"
1788,3,2,1963,"Walk to Branford Beach, near-by Marinas and the center of Town. This ranch home offers one-floor living with a finished basement for additional space. The deck in the back offers rock out croppings and an area for gardening. The home is light and bright with an open floor plan from the living room to the dining area to the kitchen. There is a screened in porch plus the spacious deck. 3-bedrooms and 1.5 baths all on one floor. A one-car garage, shed and stone wall in the front yard. The lower level has two good size rooms and an unfinished area for a workshop & laundry. Location is what it's all about. Be prepared to enjoy this home this summer.","15681 sqft",375000,"SingleFamily"
4218,4,5,2019,"Nature lovers the opportunity to share access to a rustic path to the river's bank for kayak & canoe adventures. Newer construction (2019) with open kitchen/family room & double french doors to terrace. Unique (2) Master Suite options on first & second levels.  All bedrooms en-suite. High ceilings, spacious rooms, and state-of-the-art building materials for energy efficiency. Potential to finish 1166 Lower Level.","0.28 Acres",2375000,"SingleFamily"
2277,3,2,1914,"GORGEOUS COLONIAL HOME FEATURING 3 BEDROOMS WITH PRIVATE BACK YARD. INTERIOR HAS AN OPEN FLOOR PLAN WITH FLOWING ROOMS, COMPLETELY RENOVATED WITH NEW HARDWOOD/TILE FLOORS THROUGHOUT, NEW APPLIANCES, and RENOVATED BATHROOMS, CABINETS. FULL BASEMENT.MOVE IN NOW.","7405 sqft",239900,"SingleFamily"
2043,4,3,1924,"Excellent opportunity live in North-End of Bridgeport. Beautifully updated cape has a lot to offer. Custom cabinets with custom stone work can be seen through out the kitchen and in-law apartment. Upper level has 2 bedrooms and a full bath. Easy access to laundry on main level.  Main floor has 1 bedroom and large living room with full bathroom. In-law in basement has a full kitchen, 1 bedroom, living room and a full bathroom. Stainless steel appliances. Wet bar. Make an offer on this house before it's gone!","4791 sqft",319900,"SingleFamily"
1656,3,2,1958,"Adorable 3 bedroom, 1.5 bath split level in desirable neighborhood. Open layout with vaulted ceilings on the first floor and hardwood flooring throughout the entire house. Formal dining room with gas fireplace.  Bright, updated kitchen that opens to spacious family room with glass-sliders into screened-in porch.  Lower level has been finished off with access to garage and laundry room set up.  Upper level includes 3 bedrooms with 1.5 renovated bathrooms.  Home is move in ready and has been completely undated.  Nice private large level yard.  Newer roof and mechanicals.  Plus, WALLINGFORD ELECTRIC, central air and public sewer!!","21344 sqft",325000,"SingleFamily"
1932,4,2,2002,"Must see raised ranch with finished basement and back yard made for entertaining! The open kitchen and living area makes the space great for company.  Down the hall, the Master bedroom has 2 closets (1 is a walk-in), 2 more bedrooms and a full bathroom.  A fourth bedroom has been added in the finished basement along with a family room, full bathroom, plenty of shelving, partial kitchenette and a small office area.  Outside is perfect for entertaining with an above-ground, solar heated, salt water pool, a bar, fire pit, and a stone and concrete walk way with river rock.  You do not want to miss this one!","19166 sqft",290000,"SingleFamily"
2226,6,2,1955,"Stately center hall colonial on 1.12 acres in Southington's Plantsville neighborhood. Plenty of room for the family with an open concept updated kitchen living area offering a full bath and office which could be used as a first floor bedroom. Large trek style deck off the back is accessible from the kitchen or the all season sunroom/den overlooking large back yard. The second floor has five generous bedrooms and a full bath. Hardwood throughout with many upgrades including new roof, siding, window, boiler and water heater. Close to everything and just 25 miles to New Haven and 22 miles to Hartford. Showings to begin 4/29/2021","48787 sqft",369900,"SingleFamily"
400,1,1,2011,"2011 KROPF Island Series Park Model Home 11'6"" x 36' with lot & BOAT DOCK located just feet away. Central A/C & heat. Full bath. All full size kitchen appliances including microwave. BBQ grill, two-man ocean kayak and furnishings also included. A two bedroom model with queen size bed (with flat screen tv) and full size appliances in excellent condition. Electric fireplace along with TV, new Blueray DVD player & CD player in the living room. Surround sound throughout. Attached 34' x 10' Trex THREE-SEASON porch with sliding patio doors with views of the lake. Brand new A/C unit! Porch is completely furnished including a new flat screen TV and additional refrigerator. Also included in this property is a 8' x 8' fully constructed wood shed with asphalt shingle roofing for outdoor storage. Electric supply and sewage removal included. Cable and internet ready. This property is maintenance free and immaculate. Use of the Clubhouse with washer/dryer/showers is just steps away. The lake is known for its Bass Tournament Fishing. Can find large mouth bass, pike, sturgeons, sunfish, catfish, eels.Assoc will allow you to store your boat all winter on site at no extra cost. Parking for one vehicle/boat at the unit but plenty of available parking very close by on common ground for two car families or owner‘s guests.","No Data",105000,"SingleFamily"
1856,2,2,1978,"Home With A Heart - Dreaming of Your Own Home ?   Make Your Dreams Come True with this Lovely Raised Ranch with Living Room, Eat in Kitchen, 2 Bedrooms, Possible 3rd Bedroom Lower Level, 2 Full Baths, Large Family Room with Fireplace, Hardwood Floors, Spacious Backyard for Perfect Outdoor Enjoyment. We are Excited to Offer This Home and Eager to Find a Perfect Match !!!","28314 sqft",215000,"SingleFamily"
1104,3,1,1960,"Come and enjoy the peace and quiet of this neighborhood on this side of town. With this beautiful ranch renovated three bedrooms house, one bath, and fenced-in level backyard, you must come and see it for yourself! Solar panels lease ($98/month balance remaining to be assumed by buyer).  Solar panels can transfer. Well-located near I-95, route 8/25 and Merritt Parkway, bus routes, train station. Home is convenient to shopping, dining, medical and recreation. Train station is approx. 10 minutes away ... make it your home!!! One Bac Due & Payable Upon Passing of Title.","7405 sqft",279900,"SingleFamily"
1040,3,2,1955,"Cute as a button!!  Adorable 5 room, 3 bedroom, 1.5 Bath Split-Level Home on lovely .30 acre lot.  Hardwood under the carpeting in the Living Room. Kitchen with eating area and tile floor. Three well-appointed bedrooms, all with Hardwood floors.  One car attached garage. NATURAL HOT AIR GAS HEAT, CENTRAL AIR, VINYL SIDING!!  Most windows replaced.  Lovely rear yard with a patio for barbeques, entertaining or just relaxing.  Whether you are looking to downsize or buying your first home....come take a look!  You will start packing your bags now!!","13068 sqft",215000,"SingleFamily"
2203,4,3,1930,"English style brick tudor home. This 1930's home will steal your heart with all of it's charm. Superior craftsmanship throughout includes arched doorways, slate roof, wood beams, and a sunroom made of wood and brick.  4 Bedrooms(one 1st floor used as a den) 3 full baths. Two garages  one under home with 2 spaces and the other is a 2 car detached oversized heated garage. Many perennials and a beautiful stone patio complete with  in-ground pool!! Last owners had a lift in detached garage.","15246 sqft",339000,"SingleFamily"
1680,4,2,1958,"This is the one you have been waiting for! This 4 bed 2 full bath ranch with central air and large yard is stunning.  All updates were done in the past few years and is like new construction. Upstairs you have a beautiful sunroom/mudroom that walks into the bright white kitchen. The open floor plan gives you a grand feel.  Three additional bedrooms are located upstairs as well as a full bath.  Downstairs is the perfect retreat set up as a Master suite or inlaw.  It includes a huge walk in closet and beautifully done full bath.  Don't forget to check out the video tour!","13503 sqft",284999,"SingleFamily"
862,2,1,1948,"Don't miss out on the opportunity to own your own home in Branford at such an affordable price! Come and Enjoy the Benefits of Small Home Living! Good things do come in small packages, as you will find in this charming, remodeled and updated home. This two bedroom cape is perfect for a weekend/summer getaway or year round residence for those who love being close to Long Island Sound! Lot features a large shed for exterior storage, off street parking with newly built out driveway space, and a cleared lot for plenty of outdoor entertaining. If you are a minimalist at heart, someone who enjoys nature, or simply someone who wants to stop paying rent or condo fees, 12 Clarendon may be the perfect home for you. Main level with brand new eat in kitchen with granite counters, new cabinetry and stainless steel appliances. Off this space is a fabulous bonus room with wood stove, perfect for a dining room or rec room. This space is surrounded in windows overlooking the yard and has a side entry and exit to the yard. There is a good sized living room, along with laundry set up (stackable) and full bathroom to finish off main level. The bathroom was gutted and enlarged, now featuring a tub, vanity, toilet, and custom tile work. The 2nd floor has 2 bedrooms and the ceilings were partially vaulted allowing more ceiling height. Newer roof, city water, city sewers, natural gas heat and more! There is even a partial basement for storage.","8712 sqft",235000,"SingleFamily"
1480,3,2,1972,"Great house on 0.84 acre level lot with city water, city sewer.  Large raised ranch, large eat-in kitchen with tile floor measuring 17x11 with sliders to a 12x14 deck.  Large living room 20x13 with fireplace and hardwood floors.  Family room 14x19 with tiled floors offering sliders to back yard.  Master bedroom has half bath and hardwood floors 12x13.  Other 2 bedrooms are 11x13 with hardwood floors.  Solar panels on back of house leased.  Lower level has fireplace and parquet flooring (not included in square footage).  This is a lot of house being sold AS IS.  Pool table to stay.","36590 sqft",224900,"SingleFamily"
1540,3,1,1997,"Nicely maintained and move-in ready 3 Bedroom Ranch offering serenity and tranquility on 3.67 acres conveniently located between Interstates 95 and 395. Open floor plan boasting hardwoods throughout, updated granite kitchen with cathedrals, updated bathroom, partially finished walk-out basement with two sets of french doors opening to spacious yard abutting the privacy of Pauchaug State Forest. Make this lovely house your new home today!","159865 sqft",250000,"SingleFamily"
896,3,1,1950,"Charming ranch style home. This home offers 3 bedrooms, 1 full bath, large kitchen/dining room, spacious living room and a walkout basement. This property is perfect for downsizing or for investors looking for a great location for University rental. There is a large newer deck great for summer enjoyment. The property also includes an extra storage shed and chicken coop. Conveniently located with easy access to highway, Uconn and Storrs Center.","74052 sqft",179900,"SingleFamily"
